Date,Station,Category,Value
2004-8-11,Paya Lebar,Max Temperature,27.0
2004-8-11,Paya Lebar,Min Temperature,27.0
2004-8-11,Paya Lebar,Max Humidity,78.76
2004-8-11,Paya Lebar,Min Humidity,78.76
2014-2-13,Paya Lebar,Max Temperature,34.0
2014-10-1,Paya Lebar,Max Temperature,34.0
2014-6-10,Paya Lebar,Max Temperature,35.0
2014-8-23,Paya Lebar,Max Temperature,33.0
2014-7-14,Paya Lebar,Max Temperature,34.0
2014-1-11,Paya Lebar,Max Temperature,33.0
2014-5-3,Paya Lebar,Max Temperature,35.0
2014-9-1,Paya Lebar,Max Temperature,34.0
2014-4-7,Paya Lebar,Max Temperature,35.0
2014-11-2,Paya Lebar,Max Temperature,34.0
2014-3-2,Paya Lebar,Max Temperature,34.0
2014-12-7,Paya Lebar,Max Temperature,35.0
2014-2-1,Paya Lebar,Min Temperature,22.0
2014-10-4,Paya Lebar,Min Temperature,25.0
2014-6-14,Paya Lebar,Min Temperature,24.0
2014-8-27,Paya Lebar,Min Temperature,23.0
2014-7-8,Paya Lebar,Min Temperature,23.0
2014-1-26,Paya Lebar,Min Temperature,23.0
2014-5-16,Paya Lebar,Min Temperature,24.0
2014-9-25,Paya Lebar,Min Temperature,23.0
2014-4-17,Paya Lebar,Min Temperature,24.0
2014-11-6,Paya Lebar,Min Temperature,24.0
2014-3-7,Paya Lebar,Min Temperature,24.0
2014-12-1,Paya Lebar,Min Temperature,23.0
2014-2-9,Paya Lebar,Max Humidity,94.19
2014-10-19,Paya Lebar,Max Humidity,100.0
2014-6-6,Paya Lebar,Max Humidity,100.0
2014-8-14,Paya Lebar,Max Humidity,100.0
2014-7-9,Paya Lebar,Max Humidity,100.0
2014-1-6,Paya Lebar,Max Humidity,100.0
2014-5-22,Paya Lebar,Max Humidity,100.0
2014-9-25,Paya Lebar,Max Humidity,100.0
2014-4-4,Paya Lebar,Max Humidity,100.0
2014-11-8,Paya Lebar,Max Humidity,100.0
2014-3-16,Paya Lebar,Max Humidity,100.0
2014-12-1,Paya Lebar,Max Humidity,100.0
2014-2-1,Paya Lebar,Min Humidity,43.07
2014-10-24,Paya Lebar,Min Humidity,43.88
2014-6-19,Paya Lebar,Min Humidity,46.67
2014-8-31,Paya Lebar,Min Humidity,55.29
2014-7-25,Paya Lebar,Min Humidity,49.62
2014-1-29,Paya Lebar,Min Humidity,45.61
2014-5-13,Paya Lebar,Min Humidity,49.62
2014-9-1,Paya Lebar,Min Humidity,38.45
2014-4-7,Paya Lebar,Min Humidity,44.14
2014-11-6,Paya Lebar,Min Humidity,24.19
2014-3-5,Paya Lebar,Min Humidity,38.73
2014-12-2,Paya Lebar,Min Humidity,49.36
